riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta
112;0101378702;313030;['20240229 rip 0']
113;0101381602;300633;['20231013 rip 0']
114;0101381602;299990;['20230914 rip 0']
115;0101381602;300242;['20230928 rip 0']
116;0101381602;299963;['20230928 rip 0']
117;0101381602;300238;['20230919 rip 0']
118;0101381602;300408;['20230926 rip 0']
119;0101381602;300409;['20230926 rip 0']
120;0101381602;300427;['20230927 rip 0']
121;0101381602;300567;['20231005 rip 0']
122;0101381602;300495;['20230930 rip 0']
123;0101381602;300496;['20230930 rip 0']
124;0101381602;300500;['20230930 rip 0']
125;0101381602;300501;['20230930 rip 0']
126;0111000103;313028;['20240314 rip 0']
127;0111000103;250196;['20230727 rip 0']
128;0500003701;249294;['20230727 rip 0']
129;0500100302;313270;['20240305 rip 0']
130;0500100302;313269;['20240305 rip 0']
131;0500100302;313268;['20240305 rip 0']
132;0500100302;200496;['20240229 rip 0']
133;0500100302;200864;['20240229 rip 0']
134;0500100302;303555;['20231215 rip 0']
135;0500100302;312620;['20240224 rip 0']
136;0500100302;200494;['20240229 rip 0']
137;0500100302;200438;['20240229 rip 0']
138;0500100302;200697;['20240229 rip 0']
139;0500100302;200492;['20240229 rip 0']
140;0500100302;200751;['20240229 rip 0']
141;0500100302;301164;['20231105 rip 0']
142;0500100302;312202;['20240220 rip 0']
143;0500100302;312203;['20240220 rip 0']
144;0500100302;312204;['20240220 rip 0']
145;0500100302;200403;['20240304 rip 0']
146;0500101103;303462;['20231203 rip 0']
147;0500101103;303462;['20231205 rip 0']
148;0500101103;303461;['20231203 rip 0']
149;0500101103;303461;['20231205 rip 0']
150;0500101103;303485;['20231208 rip 0']
151;0500103101;312960;['20240229 rip 0']
152;0500103101;312959;['20240229 rip 0']
153;0500103101;299637;['20230811 rip 0']
154;0500103101;299636;['20230811 rip 0']
155;0500103101;299635;['20230811 rip 0']
156;0500107402;314553;['20240329 rip 0']
157;0500107402;300251;['20230922 rip 0']
158;0500107702;314576;['20240330 rip 0']
159;0500107702;314575;['20240330 rip 0']
160;0500107702;314574;['20240330 rip 0']
161;0500107702;314573;['20240330 rip 0']
162;0500107702;315648;['20240425 rip 0']
163;0500107702;315647;['20240425 rip 0']
164;0500107702;315650;['20240425 rip 0']
165;0500107702;315649;['20240425 rip 0']
166;0500107702;315652;['20240425 rip 0']
167;0500107702;315651;['20240425 rip 0']
168;0500107702;315653;['20240425 rip 0']
169;0500107702;315654;['20240425 rip 0']
170;0500107702;315655;['20240425 rip 0']
171;0500107702;315656;['20240425 rip 0']
172;0500107702;314605;['20240402 rip 0']
173;0500107702;213805;['20231107 rip 0']
174;0500107702;314563;['20240329 rip 0']
175;0500107702;314604;['20240402 rip 0']
176;0500107802;314597;['20240331 rip 0']
177;0500107802;314595;['20240331 rip 0']
178;0500107802;314596;['20240331 rip 0']
179;0500107802;314598;['20240331 rip 0']
180;0500107802;220853;['20240313 rip 0']
181;0500107802;312710;['20240313 rip 0']
182;0500107802;312711;['20240313 rip 0']
183;0500107802;312714;['20240313 rip 0']
184;0500107802;312718;['20240313 rip 0']
185;0500107802;312713;['20240313 rip 0']
186;0500107802;312715;['20240313 rip 0']
187;0500107802;312712;['20240313 rip 0']
188;0500107802;220854;['20240313 rip 0']
189;0500107802;312716;['20240313 rip 0']
190;0500107802;312717;['20240313 rip 0']
191;0500107802;314593;['20240331 rip 0']
192;0500107802;314594;['20240331 rip 0']
