riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta;data_fine_corretta
388;0101360903;313255;20240305;99991231
389;0101360903;313255;;
390;0101360903;215808;20230727;99991231
391;0101360903;215808;;
392;0101360903;175160;20230727;99991231
393;0101360903;175160;;
394;0101360903;175161;;
395;0101360903;175161;20230727;99991231
396;0101360903;175063;20230727;99991231
397;0101360903;175063;;
398;0101361001;215808;20230727;99991231
399;0101361001;215808;;
400;0101361001;175160;20230727;99991231
401;0101361001;175160;;
402;0101361001;175161;20230727;99991231
403;0101361001;175161;;
404;0101361001;175063;20230727;99991231
405;0101361001;175063;;
406;0101361502;215808;20230727;99991231
407;0101361502;215808;;
408;0101361502;175160;20230727;99991231
409;0101361502;175160;;
410;0101361502;175161;20230727;99991231
411;0101361502;175161;;
412;0101361502;175063;20230727;99991231
413;0101361502;175063;;
414;0101362101;304438;20240119;99991231
415;0101362101;304438;;
416;0101362101;304439;20240119;99991231
417;0101362101;304439;;
418;0101362801;302054;20231122;99991231
419;0101362801;302054;;
420;0101362801;312700;20240225;99991231
421;0101362801;312700;;
422;0101362801;312701;20240225;99991231
423;0101362801;312701;;
424;0101362903;313175;20240303;99991231
425;0101362903;313175;;
426;0101363103;314782;20240410;99991231
427;0101363103;314782;;
428;0101363201;310706;20240208;99991231
429;0101363201;310706;;
430;0101363201;299709;20230817;99991231
431;0101363201;299709;;
432;0101363301;314170;20240322;99991231
433;0101363301;314170;;
434;0101363301;314549;20240403;99991231
435;0101363301;314549;;
436;0101363301;314550;20240403;99991231
437;0101363301;314550;;
438;0101363301;300406;20230924;20240522
439;0101363301;300406;;
440;0101363301;314634;20240404;99991231
441;0101363301;314634;;
442;0101363301;314635;20240404;99991231
443;0101363301;314635;;
444;0101363402;314767;20240410;99991231
445;0101363402;314767;;
446;0101363501;314797;20240410;99991231
447;0101363501;314797;;
448;0101363501;302052;20231122;99991231
449;0101363501;302052;;
450;0101363501;314892;20240414;99991231
451;0101363501;314892;;
452;0101363501;314893;20240414;99991231
453;0101363501;314893;;
454;0101363801;304000;20240105;99991231
455;0101363801;304000;;
456;0101364003;300935;20231101;20231102
457;0101364003;300935;;
458;0101364003;300932;20231103;20240510
459;0101364003;300932;20231031;20231102
460;0101364003;300932;;
461;0101364301;299761;20230824;99991231
462;0101364301;299761;;
463;0101364301;300677;20231017;99991231
464;0101364301;300677;;
465;0101364301;300710;20231018;99991231
466;0101364301;300710;;
467;0101364301;300291;20230921;99991231
468;0101364301;300291;;
469;0101364301;299802;20230829;99991231
470;0101364301;299802;;
471;0101364301;299803;20230829;99991231
472;0101364301;299803;;
473;0101364301;300712;20231018;99991231
474;0101364301;300712;;
475;0101364301;314775;20240410;99991231
476;0101364301;314775;;
477;0101364301;314799;20240411;99991231
478;0101364301;314799;;
479;0101364301;300717;20231019;99991231
480;0101364301;300717;;
481;0101364301;300718;20231019;99991231
482;0101364301;300718;;
483;0101364301;300719;20231019;99991231
484;0101364301;300719;;
485;0101364301;300720;20231019;99991231
486;0101364301;300720;;
487;0101364301;300721;20231019;99991231
488;0101364301;300721;;
489;0101364301;300722;20231019;99991231
490;0101364301;300722;;
491;0101364301;300723;20231019;99991231
492;0101364301;300723;;
493;0101364301;300681;20231017;99991231
494;0101364301;300681;;
495;0101364301;300685;20231017;99991231
496;0101364301;300685;;
497;0101364301;313549;20240312;99991231
498;0101364301;313549;;
499;0101364301;300879;20231028;99991231
500;0101364301;300879;;
501;0101364301;300692;20231018;99991231
502;0101364301;300692;;
503;0101364401;301467;20231108;99991231
504;0101364401;301467;;
505;0101364401;314435;20240327;99991231
506;0101364401;314435;;
507;0101364401;314436;20240327;99991231
508;0101364401;314436;;
509;0101364401;301040;20231104;99991231
510;0101364401;301040;;
511;0101364401;301485;20231108;99991231
512;0101364401;301485;;
513;0101364401;301482;20231108;99991231
514;0101364401;301482;;
515;0101364401;301189;20231107;99991231
516;0101364401;301189;;
517;0101364401;300948;20231103;99991231
518;0101364401;300948;;
519;0101364401;301559;20231109;99991231
520;0101364401;301559;;
521;0101368103;299743;20230819;20240424
522;0101368103;299743;;
523;0101372301;299701;20230817;99991231
524;0101372301;299701;;
525;0101372301;299702;20230817;99991231
526;0101372301;299702;;
527;0101372301;299738;20230817;99991231
528;0101372301;299738;;
529;0101372301;299775;20230827;99991231
530;0101372301;299775;;
531;0101372301;313545;20240312;99991231
532;0101372301;313545;;
533;0101372301;314745;20240409;99991231
534;0101372301;314745;;
535;0101372301;313547;20240312;99991231
536;0101372301;313547;;
537;0101372301;299725;20230817;99991231
538;0101372301;299725;;
539;0101372301;299726;20230817;99991231
540;0101372301;299726;;
541;0101372301;301981;20231118;99991231
542;0101372301;301981;;
543;0101372301;310762;20240210;99991231
544;0101372301;310762;;
545;0101372301;301943;20231117;99991231
546;0101372301;301943;;
547;0101372401;273356;20240417;99991231
548;0101372401;273356;;
549;0101372401;228545;;
550;0101372401;228545;20240113;99991231
551;0101372401;228546;20240113;99991231
552;0101372401;228546;;
553;0101372401;228547;;
554;0101372401;228547;20240113;99991231
555;0101372401;273389;;
556;0101372401;273389;20240113;99991231
557;0101372401;273390;20240113;99991231
558;0101372401;273390;;
559;0101372401;273391;20240113;99991231
560;0101372401;273391;;
561;0101377801;300266;20230920;20240502
562;0101377801;300266;;
563;0101377801;312736;20240225;20240429
564;0101377801;312736;;
565;0101377801;314370;20240324;99991231
